URL,Reference Number,Issuing Organization,Solicitation Type,Solicitation Number,Title,Start Date,Questions are submitted online,Closing Date
https://www.merx.com/mbgov/solicitations/open-bids/Desktop-Computers-with-Monitors/0000248337?origin=0,248337,Western School Division,RFQ - Request for Quote (Informal),2023-02,Desktop Computers with Monitors,2023/05/26 09:22:42 AM CDT,,2023/06/09 02:00:00 PM CDT
https://www.merx.com/mbgov/solicitations/open-bids/Red-Hat-Site-Subscription-Services/0000248350?origin=0,248350,University of Manitoba,RFQ - Request for Qualifications (Formal),RFQ# IT-0227-2324-VK,Red Hat Site Subscription Services,2023/05/26 10:57:29 AM CDT,,2023/06/09 02:00:00 PM CDT
https://www.merx.com/public/supplier/interception/view-notice/22767117842?origin=0,AB-2023-03738,Alberta Public Sector,NOI - Notice of Intent (Informal),BVC_2023ITA0003,Microsoft Dynamics 365 Licenses,2023/05/26 02:00:00 AM EDT,2023/06/12 02:00:00 PM EDT,
https://www.merx.com/public/supplier/interception/view-notice/22768950031?origin=0,3567456,University of British Columbia,RFP - Request for Proposal (Formal),2023010106,2023010106 Network Visibility and Security Platform Tool,2023/05/26 02:19:00 PM EDT,2023/06/22 05:00:00 PM EDT,
https://www.merx.com/solicitations/open-bids/Avolin-Pivotal-Consulting-Services/0000248288?origin=0,248288,Ontario Energy Board,RFP - Request for Proposal (Formal),RFPOEBAPCS05252023,Avolin Pivotal Consulting Services,2023/05/25 04:32:29 PM EDT,,2023/06/15 03:00:00 PM EDT
https://www.merx.com/mbgov/solicitations/open-bids/Laptop-Computers/0000248362?origin=0,248362,Western School Division,RFQ - Request for Quote (Informal),2023-04,Laptop Computers,2023/05/26 02:29:20 PM CDT,,2023/06/09 02:00:00 PM CDT
https://www.merx.com/solicitations/open-bids/Supply-and-Delivery-of-Apple-Products/0000248257?origin=0,248257,Humber College,RFT - Request for Tender (Formal),2023-142T,Supply and Delivery of Apple Products,2023/05/25 01:48:03 PM EDT,,2023/06/20 02:00:00 PM EDT
https://www.merx.com/mbgov/solicitations/open-bids/Ethernet-Switches/0000248322?origin=0,248322,Western School Division,RFQ - Request for Quote (Informal),2023-01,Ethernet Switches,2023/05/26 09:00:16 AM CDT,,2023/06/09 01:00:00 PM CDT
https://www.merx.com/oupma/solicitations/open-bids/Computers-Laptops-and-Related-Accessories/0000248122?origin=0,248122,Carleton University,RFP - Request for Proposal (Formal),2023-23,"Computers, ",,2023/05/25 03:00:00 PM EDT,2023/06/20 03:00:00 PM EDT
https://www.merx.com/public/supplier/interception/view-notice/22769301006?origin=0,AB-2023-03746,Alberta Public Sector,RFP - Request for Proposal (Formal),RFP2023-12CS,Municipal ERP Needs Assessment and Product Selection,2023/05/26 02:00:00 AM EDT,2023/06/13 06:00:00 PM EDT,
